replicate	seed	selected_C	validation_average_precision	average_precision	brier	roc_auc	real_context_support_ap	real_minus_shuffled_ap
19	20262833	1.0	0.817479282280907	0.8111945496944097	0.1980138751447791	0.6579214211965065	0.9571531912808816	0.1459586415864718
20	20262834	10.0	0.817768369524637	0.8106235323821314	0.198017921490604	0.6577142031228831	0.9571531912808816	0.1465296588987502
21	20262835	0.01	0.8180378244159574	0.810876808554065	0.1980297001269652	0.6575761547943696	0.9571531912808816	0.1462763827268166
22	20262836	0.01	0.8175324373179182	0.81049963732422	0.1980263418674055	0.6573486353280515	0.9571531912808816	0.1466535539566615
23	20262837	10.0	0.8176901164727147	0.811038228804605	0.198024687996579	0.6574120377877564	0.9571531912808816	0.1461149624762766
24	20262838	1.0	0.8169020312406666	0.8109673911254748	0.1980240177802994	0.657567134490529	0.9571531912808816	0.1461858001554068
25	20262839	1.0	0.8176836938891157	0.8110585568160972	0.1980260359799995	0.6574481943626197	0.9571531912808816	0.1460946344647844
26	20262840	0.01	0.8179546461513638	0.8109083851356363	0.1980208830187829	0.6575775969011735	0.9571531912808816	0.1462448061452452
27	20262841	10.0	0.8171342183643837	0.8109432867133778	0.1980216408541218	0.6573728131677765	0.9571531912808816	0.1462099045675038
28	20262842	0.1	0.8181811917816	0.8109200260894618	0.1980205889761332	0.657626829491174	0.9571531912808816	0.1462331651914198
29	20262843	10.0	0.8181195893518922	0.8106428152007503	0.1980168238589166	0.6577834756309481	0.9571531912808816	0.1465103760801313
30	20262844	10.0	0.8177254588136355	0.810994763502733	0.1980222446738317	0.6575079247593942	0.9571531912808816	0.1461584277781485
31	20262845	0.01	0.8179735604059784	0.8108115244316966	0.1980218358289906	0.657509849852087	0.9571531912808816	0.146341666849185
32	20262846	10.0	0.817116151101471	0.8106877173133895	0.198021435027141	0.6575264106732145	0.9571531912808816	0.1464654739674921
33	20262847	0.1	0.8178719263100114	0.8110583111202384	0.1980213477346492	0.6575333072093155	0.9571531912808816	0.1460948801606432
34	20262848	10.0	0.8183192393311667	0.8107933114344357	0.1980222369154931	0.6573808115511189	0.9571531912808816	0.1463598798464459
35	20262849	1.0	0.8174576724068401	0.8103840127976177	0.1980228191557679	0.6575297253494233	0.9571531912808816	0.1467691784832638
36	20262850	0.01	0.8173576586942304	0.8107365437726503	0.1980224640581368	0.6574737263897316	0.9571531912808816	0.1464166475082313
37	20262851	0.01	0.8178419194988673	0.8108557311099817	0.1980224307688811	0.6574749869486478	0.9571531912808816	0.1462974601708999
38	20262852	0.01	0.8169661247943063	0.8108043998273613	0.1980199040466472	0.657860892674114	0.9571531912808816	0.1463487914535203
39	20262853	0.01	0.8178375010188585	0.81117958073302	0.1980211133782645	0.6576446999690744	0.9571531912808816	0.1459736105478616
40	20262854	0.01	0.817886730899569	0.8110865724795456	0.1980225191502979	0.6575306650595576	0.9571531912808816	0.1460666188013359
41	20262855	0.1	0.8182238403006454	0.8108320690580131	0.1980271140170247	0.6574679077228489	0.9571531912808816	0.1463211222228685
42	20262856	0.1	0.8176538054216449	0.81096616330691	0.1980114647149411	0.6579402953259352	0.9571531912808816	0.1461870279739716
43	20262857	0.01	0.8180268760504257	0.8103930570728024	0.1980376869811836	0.6571757960301675	0.9571531912808816	0.1467601342080792
44	20262858	0.01	0.8178402129339507	0.8109062903956321	0.198023368114648	0.6574220286306179	0.9571531912808816	0.1462469008852495
45	20262859	0.01	0.8178796022804303	0.8106608400333571	0.1980291516626103	0.6572706302524202	0.9571531912808816	0.1464923512475244
46	20262860	0.1	0.8180654398322289	0.810966891213136	0.19801528000009	0.6577630372209798	0.9571531912808816	0.1461863000677455
47	20262861	0.1	0.8179397514017619	0.8109435785061498	0.198021107805264	0.6575787615479984	0.9571531912808816	0.1462096127747317
48	20262862	10.0	0.816971206876509	0.8110752923132138	0.1980247763177794	0.6572757912363898	0.9571531912808816	0.1460778989676677
